€60,000 	 Cloonnahulty, Kiltimagh, Mayo
€152,000 	 143 Childers Heights, Ballina, Mayo
€100,000 	 Martin Tom's Cottage - Lot 4, Tourmakeady, Mayo
€210,000 	 Neale Road, Ballinrobe, Mayo
€95,000 	 Site Sold SPP, Carrowbaun, Westport, Co Mayo
€255,000  -€10,000 on 30th Aug 19 	 Golf Course Road, Carrowholly, Westport, Co Mayo, F28 X330
€290,000 	 Lahardane, Ballina, Mayo
€260,000 	 Lowvalley, Ballina, Mayo
€165,000 	 Station Road, Castlebar , Castlebar, Mayo
€145,000 	 Cnoc An Dara, Foxford, Mayo
€185,000 	 Killaclare, Kilmovee, Mayo
€525,000 	 Deerpark West, Murrisk, Mayo
Guide Price €240,000 	 Curra Davitt, (Folio MY59858F), Carrowniskey, Westport, Co. Mayo
€125,000 	 No. 49 Rowan Drive , Castlebar, Mayo
€39,000 	 Cranmore, Carracastle, Charlestown, Mayo
€155,000 	 28 Peter Street, Westport, Mayo
€320,000 	 Whitethorns, Breaffy, Ballina, Co Mayo, F26 T1X2
€100,000 	 Ballindrehid, Ballyhaunis, Co. Mayo
€175,000 	 5 Pearse Terrace Quay Road, Westport, Mayo
POA 	 Site For Sale Dooagh , Achill, Mayo
